timestamp,chapter,percent,color,quote
"December 06, 2022 04:30",Chapter 2: Deep Work Is Rare,18.8%,#FFB,What’s the impact of our current e-mail habits on the bottom line
"December 06, 2022 04:13",Chapter 1: Deep Work Is Valuable,17.0%,#FFB,"They see their role as enabling others’ productivity, not necessarily protecting their own. Follow-up discussions, however, soon uncovered that this goal didn’t really require attention-fracturing connectivity. Indeed, many software companies now deploy the Scrum project management methodology, which replaces a lot of this ad hoc messaging with regular, highly structured, and ruthlessly efficient status meetings (often held standing up to minimize the urge to bloviate). This approach frees up more managerial time for thinking deeply about the problems their teams are tackling, often improving the overall value of what they produce"
"December 05, 2022 14:32",Chapter 1: Deep Work Is Valuable,14.8%,#FFE0EC,"Grant also batches his attention on a smaller time scale. Within a semester dedicated to research, he alternates between periods where his door is open to students and colleagues, and periods where he isolates himself to focus completely and without distraction on a single research task"
"December 05, 2022 14:31",Chapter 1: Deep Work Is Valuable,14.4%,#FFE0EC,"there’s one idea in particular that seems central to his method: the batching of hard but important intellectual work into long, uninterrupted stretches"
"December 05, 2022 05:18",Chapter 1: Deep Work Is Valuable,14.0%,#FFE0EC,"By focusing intensely on a specific skill, you’re forcing the specific relevant circuit to fire, again and again, in isolation"
"December 05, 2022 05:18",Chapter 1: Deep Work Is Valuable,14.0%,#FFB,"you’re trying to learn a complex new skill (say, SQL database management) in a state of low concentration (perhaps you also have your Facebook feed open), you’re firing too many circuits simultaneously and haphazardly to isolate the group of neurons you actually want to strengthen."
"December 05, 2022 05:18",Chapter 1: Deep Work Is Valuable,14.0%,#FFB,"To learn hard things quickly, you must focus intensely without distraction. To learn, in other words, is an act of deep work. If you’re comfortable going deep, you’ll be comfortable mastering the increasingly complex systems and skills needed to thrive in our economy. If you instead remain one of the many for whom depth is uncomfortable and distraction ubiquitous, you shouldn’t expect these systems and skills to come easily to you."
"December 05, 2022 04:49",Chapter 1: Deep Work Is Valuable,13.5%,#FFB,Men of genius themselves were great only by bringing all their power to bear on the point on which they had decided to show their full measure
"December 05, 2022 04:27",Chapter 1: Deep Work Is Valuable,13.1%,#FFB,"Let your mind become a lens, thanks to the converging rays of attention; let your soul be all intent on whatever it is that is established in your mind as a dominant, wholly absorbing idea.” 

This advice comes from Antonin-Dalmace Sertillanges"
"December 05, 2022 04:27",Chapter 1: Deep Work Is Valuable,13.1%,#FFB,we argue that the differences between expert performers and normal adults reflect a life-long period of deliberate effort to improve performance in a specific domain.”
"December 05, 2022 01:51",Chapter 1: Deep Work Is Valuable,9.6%,#FFB,"John Doerr, a general partner in the famed Silicon Valley venture capital fund Kleiner Perkins Caufield & Byers. Doerr helped fund many of the key companies fueling the current technological revolution, including Twitter, Google, Amazon, Netscape, and Sun Microsystems. The return on these investments has been astronomical: Doerr’s net worth, as of this writing, is more than $3 billion."
"December 05, 2022 01:51",Chapter 1: Deep Work Is Valuable,9.2%,#FFB,"it was instead a blog run by a baseball stats geek turned election forecaster named Nate Silver. Less than a year later, ESPN and ABC News lured Silver away from the Times (which tried to retain him by promising a staff of up to a dozen writers) in a major deal that would give Silver’s operation a role in everything from sports to weather to network news segments to, improbably enough, Academy Awards telecasts. Though there’s debate about the methodological rigor of Silver’s hand-tuned models, there are few who deny that in 2012 this thirty-five-year-old data whiz was a winner in our economy"
"December 05, 2022 01:51",Chapter 1: Deep Work Is Valuable,9.2%,#FFB,"David Heinemeier Hansson, a computer programming star who created the Ruby on Rails website development framework, which currently provides the foundation for some of the Web’s most popular destinations, including Twitter and Hulu. Hansson is a partner in the influential development firm Basecamp (called 37signals until 2014"
